role	word	 frq
OTH	seinpaal	3
TRG	neerzetten	32
OTH	nodig	308
OTH	daarin	134
TRG	ho	360
OTH	helpen	560
OTH	alsjeblieft	416
TRG	doorrijden	8
OTH	daaraan	22
TRG	pang	36
OTH	brug	224
OTH	zetten	692
TRG	boot	778
TRG	aanleggen	2
OTH	boot	508
TRG	na	83
TRG	trein	1209
OTH	haal	182
OTH	trein	1108
TRG	afmaken	14
OTH	nergens	57
OTH	heen	481
OTH	gebruik	14
OTH	moeilijk	657
TRG	deken	52
OTH	leg	509
OTH	gauw	362
OTH	bocht	58
OTH	eraan	228
OTH	schuift	11
TRG	bocht	14
TRG	leggen	114
OTH	twee	2485
OTH	hiermee	36
OTH	gebeuren	125
TRG	daarin	82
TRG	brug	193
OTH	kant	834
OTH	tjee	4
OTH	pont	2
OTH	betekent	91
TRG	't	92
TRG	spoortje	1
OTH	aanleggen	19
TRG	slag	9
OTH	slag	7
TRG	'm	11
TRG	opzetten	54
OTH	eerst	1884
OTH	bedankt	60
OTH	laat	1335
OTH	spoor	27
OTH	station	122
OTH	geen	3045
OTH	mensen	446
OTH	instappen	17
TRG	mensen	233
OTH	mijn	1980
OTH	'm	50
OTH	duwen	94
TRG	stuk	727
OTH	door	1141
OTH	duwt	11
TRG	andersom	99
OTH	allemaal	3596
OTH	nieuwe	466
OTH	geluiden	21
OTH	schitterend	27
OTH	onderscheid	3
OTH	tussen	321
OTH	mannen	34
OTH	vrouwen	7
OTH	speelt	122
OTH	komen	815
TRG	es	158
OTH	jaja	407
OTH	hele	1446
OTH	lange	210
OTH	over	1414
TRG	jouw	198
TRG	kom	949
OTH	dacht	635
TRG	verkeerd	66
OTH	verkeerd	141
OTH	schat	119
TRG	tree	16
OTH	groene	223
OTH	zomaar	125
OTH	begrijp	94
OTH	stop	126
OTH	Bert	205
OTH	ligt	952
OTH	ertussen	63
TRG	hoort	493
TRG	daarbij	13
TRG	gunst	4
OTH	gunst	4
OTH	hek	103
OTH	eruit	640
TRG	aangeven	3
TRG	proberen	65
OTH	voorzichtig	571
OTH	treinstel	1
OTH	omver	17
TRG	achteruit	56
TRG	toet	101
OTH	rails	179
OTH	leggen	402
OTH	goeie	124
OTH	oplossing	12
OTH	onderdoor	99
OTH	ingewikkeld	26
TRG	namelijk	29
OTH	spoorwegovergang	4
TRG	douwen	2
TRG	gaatje	111
TRG	daarheen	30
OTH	opgaan	3
TRG	me	210
TRG	idee	26
OTH	wacht	768
OTH	effe	624
TRG	wisselen	3
OTH	leuterkoek	1
OTH	heet	1264
TRG	stad	22
TRG	bouwen	476
TRG	blokkendoos	4
TRG	kasteel	160
OTH	dag	616
OTH	kom	3652
TRG	gebleven	21
OTH	plastic	55
OTH	zak	281
OTH	achterin	25
OTH	uittrekken	30
OTH	misschien	1108
OTH	Gerard	320
OTH	samen	524
OTH	vast	1037
OTH	al	3915
OTH	klein	1308
OTH	stukje	1039
TRG	spoor	13
TRG	zetten	228
OTH	zijkant	30
OTH	kasteel	155
OTH	schuiven	89
OTH	opzij	69
TRG	Sinterklaas	174
OTH	microfoon	204
OTH	alles	809
OTH	stuurt	4
OTH	bandrecorder	54
OTH	straks	1110
OTH	luisteren	260
OTH	gezegd	238
TRG	huisje	211
OTH	huisje	350
OTH	gingen	347
OTH	stad	65
TRG	huizen	37
OTH	naast	293
OTH	beginnen	312
OTH	meestal	113
OTH	kerk	58
