role	word	 frq
TRG	kadootje	139
OTH	Dien	50
OTH	kouwe	46
OTH	oene	1
OTH	nogge	1
OTH	oppe	55
OTH	toel	1
OTH	datte	24
TRG	zatten	7
TRG	oot	3
TRG	Dien	10
TRG	boeke	12
OTH	jajaja	36
OTH	plasse	6
OTH	zakie	2
OTH	nogg	1
OTH	ap	4
OTH	moettie	2
OTH	tee	11
OTH	Mi	3
OTH	kanne	13
OTH	pegen	1
OTH	mette	18
OTH	plassijde	1
OTH	ewegen	1
OTH	ope	29
OTH	meissie	33
OTH	Pietepop	8
OTH	speelgoedhond	6
OTH	zoiets	244
TRG	sapen	16
TRG	ape	11
TRG	sape	6
OTH	welterusten	33
TRG	tat	10
TRG	poesse	1
OTH	t'	2
OTH	teb	1
OTH	wiebelspin	2
OTH	mo	13
OTH	moete	87
OTH	isse	126
TRG	teke	39
OTH	anne	45
OTH	annersom	2
OTH	annerkant	1
OTH	anner	12
TRG	moette	4
TRG	leit	1
OTH	'sochtends	32
OTH	'savonds	44
OTH	'smiddags	4
OTH	ernaartoe	10
OTH	kejje	2
TRG	tet	6
OTH	reisse	1
OTH	uhuh	18
OTH	boehoem	2
OTH	wiebelig	6
TRG	Diene	1
OTH	naartoe	261
OTH	wc	107
TRG	neehee	44
TRG	poepe	4
TRG	datata	1
OTH	blommer	1
OTH	knoopie	1
OTH	blon	1
TRG	dadada	5
OTH	puzzle	34
TRG	kein	5
TRG	wawa	24
TRG	ooid	1
OTH	lullie	3
OTH	danne	4
OTH	bam	29
OTH	;	10
TRG	pele	5
OTH	poesie	13
OTH	Roodkapje	67
TRG	Roodkapje	41
OTH	zometeen	38
TRG	lope	15
TRG	gevalle	1
OTH	woewoe	1
OTH	aangekropen	2
TRG	eheh	10
OTH	grrr	7
TRG	ggg	16
OTH	di's	2
OTH	wijter	2
OTH	Melk	5
OTH	plukkertje	1
OTH	choentje	4
OTH	inne	28
OTH	klaklaklakla	1
OTH	rijstwafel	15
OTH	ooke	21
OTH	broterham	12
OTH	nananana	2
TRG	krentebrood	4
OTH	hm	2806
OTH	chocoma	1
TRG	Hijke	9
TRG	viesje	1
TRG	Hijkij	1
TRG	telle	3
TRG	wc	27
TRG	neenee	10
OTH	goeiemorgen	17
TRG	rado	1
TRG	ee	62
TRG	poese	4
TRG	mette	4
TRG	kijt	2
TRG	Bobo's	2
OTH	Bobo's	3
OTH	Artis	93
TRG	cende	1
TRG	gooie	9
OTH	damespaardje	1
TRG	damepaadje	1
OTH	puh	16
TRG	Artis	52
TRG	ssss	9
OTH	gaanwij	1
OTH	tie	150
OTH	mensekinderen	1
TRG	navond	4
TRG	ete	13
TRG	vinne	5
TRG	vint	1
TRG	le	16
OTH	clownsbroek	2
OTH	clowntjes	7
TRG	boov	1
TRG	nie	292
OTH	hoeplakee	4
OTH	boekjez	1
OTH	Stappe	1
OTH	stappe	17
TRG	all	7
TRG	seelgoedjes	1
TRG	deg	4
TRG	peelbank	1
TRG	veelbank	1
OTH	neit	4
OTH	zoniet	1
OTH	buh	5
OTH	liegebeest	3
OTH	too	42
OTH	hoho	39
OTH	mensenhuis	1
OTH	Kerstverhaal	1
TRG	Joze	1
OTH	huh	453
OTH	stiekum	6
OTH	jahoor	13
TRG	wehe	1
TRG	bibliothee	1
TRG	boelietek	1
TRG	boedelothee	1
TRG	boelieteek	1
OTH	blio	1
OTH	theek	10
OTH	boekenhuis	3
OTH	snij	7
TRG	gekrijgt	3
TRG	dt	1
TRG	apoe	3
OTH	doink	2
OTH	boink	11
OTH	moink	1
TRG	doink	3
TRG	koink	3
OTH	apekoe	1
OTH	Pippeloentje	7
TRG	Pippeloentje	2
TRG	inne	53
OTH	enzo	33
TRG	berekoorts	1
OTH	Piggelemug	1
TRG	lemug	1
TRG	berekof	4
OTH	berekof	1
OTH	berebof	1
OTH	Puggelemug	1
OTH	beredokters	1
OTH	elkaars	6
OTH	plansoentje	1
OTH	Anna's	2
OTH	tiktik	2
OTH	Tshirt	14
OTH	oe	285
OTH	bebbebbeb	1
TRG	trappetje	23
TRG	kanne	16
TRG	Binie	1
OTH	Beenie	1
OTH	weggekiept	1
TRG	vastkloppen	1
TRG	knorrens	2
OTH	knorrens	1
OTH	springkussen	1
TRG	nogge	4
TRG	mmet	1
TRG	nnnog	3
OTH	tenminte	1
TRG	zzzzzzijn	1
TRG	mmmmaar	1
OTH	Gien	1
OTH	Lollobritgida	1
OTH	bug	3
OTH	Buggy	1
OTH	direkt	16
TRG	Kwik	2
TRG	Kwak	21
OTH	Kwek	6
TRG	Minnie	17
OTH	Minnie	16
TRG	Pluto	13
TRG	nnaar	1
TRG	Goofy	6
OTH	Bambie	4
TRG	Bambie	2
TRG	Stampertje	4
OTH	Stampertje	3
OTH	Duck	16
TRG	Falina	2
OTH	Falina	5
TRG	Wolfje	1
OTH	Wolfje	2
TRG	vroegter	1
TRG	'ns	2
TRG	daa	22
OTH	sommigen	1
OTH	Telman	1
TRG	nja	10
TRG	gestreep	1
TRG	llletters	1
TRG	schildpadjes	2
TRG	meegeweest	1
OTH	meegeweest	3
TRG	auau	2
TRG	eefjes	1
TRG	bain	1
TRG	bai	2
TRG	naan	2
TRG	sja	3
TRG	messs	3
TRG	oeoe	8
OTH	poem	7
TRG	ahaha	8
TRG	ohohoh	7
TRG	an	22
TRG	Tischa	2
TRG	nana	2
TRG	tout	5
OTH	nah	63
TRG	hoppetee	6
OTH	hoppetee	4
OTH	pom	10
TRG	hihihi	15
OTH	hadjipoek	1
TRG	koppe	5
TRG	hoppetie	3
OTH	hoppetie	1
OTH	broem	176
TRG	mamama	2
OTH	heelhouden	1
OTH	driehoekje	5
OTH	theetje	5
OTH	platic	1
TRG	Pischa	1
OTH	broerje	1
OTH	toktoktok	5
OTH	weggeplakt	1
TRG	ahoehoe	1
TRG	pag	1
OTH	brrr	58
TRG	wate	2
OTH	kippie	3
OTH	kippe	8
OTH	tokketok	2
OTH	Molenberg	2
OTH	tokketokketok	1
TRG	zu	1
TRG	daai	2
TRG	toktoktok	2
TRG	hoew	3
OTH	bussekruit	1
TRG	ting	23
TRG	tom	8
OTH	Triest	2
TRG	kadootjes	53
TRG	pakkies	1
OTH	pakkies	2
OTH	rechthouden	2
OTH	heir	2
OTH	pick	27
OTH	ups	2
OTH	oeps	137
OTH	kanje	1
OTH	Change in Time	1
OTH	un	8
OTH	banc	1
OTH	arbre	1
OTH	une	1
OTH	rue	1
OTH	songfestivalliedje	1
TRG	hahaha	15
OTH	oz	3
TRG	kukup	1
OTH	peuterzaal	5
OTH	pss	10
TRG	taat	13
TRG	radioho	1
OTH	hierneer	4
TRG	knoppies	10
TRG	wa	17
OTH	wecht	1
OTH	huplakee	4
TRG	d'rin	7
TRG	staks	1
OTH	nja	12
OTH	hj	36
TRG	heelkopter	1
TRG	helekopter	1
TRG	viegtuig	3
OTH	geet	1
TRG	stokkie	1
TRG	stokkkies	1
TRG	stokkies	1
OTH	stokkies	1
OTH	meot	1
TRG	pusses	3
TRG	puzzel(stukje)s	2
OTH	moelijk	4
TRG	pussel	7
TRG	gese	1
OTH	tegenan	1
TRG	Nijn	4
OTH	nijntjes	3
TRG	gane	2
TRG	puss	1
OTH	hatsekidee	1
TRG	semaakt	1
TRG	dietuin	1
TRG	ope	17
TRG	hon	3
TRG	gijt	1
TRG	gijje	1
OTH	jahaha	4
TRG	sit	8
TRG	vanne	2
TRG	karrebeertjes	2
TRG	koalabeertjes	2
TRG	gaapjes	1
TRG	nijntje	19
TRG	hijt	3
TRG	dees	137
TRG	ve	1
TRG	gekegen	1
TRG	pusse	4
TRG	gote	11
TRG	rope	1
OTH	smurfenhuis	2
TRG	surfehuis	3
TRG	sukkemaak	1
TRG	pisa	2
OTH	joepie	15
TRG	tjoepie	1
TRG	schoeveraaier	1
TRG	sleutelraaier	1
TRG	almaal	2
